Date,Open,High,Low,Close,Adj Close,Volume,SMA (fast),SMA (middle),SMA (slow),RSI (slow),RSI (middle),RSI (fast),K,D,J,OBV,BIAS (slow),BIAS (middle),BIAS (fast)
2017-01-01,963.6580200195312,1003.0800170898438,958.698974609375,998.3250122070312,998.3250122070312,147775008,,,,,,,,,,0,,,
2017-01-02,998.6170043945312,1031.3900146484375,996.7020263671876,1021.75,1021.75,222184992,,,,,,,,,,222184992,,,
2017-01-03,1021.5999755859376,1044.0799560546875,1021.5999755859376,1043.8399658203125,1043.8399658203125,185168000,,,,,,,,,,407352992,,,
2017-01-04,1044.4000244140625,1159.4200439453125,1044.4000244140625,1154.72998046875,1154.72998046875,344945984,,,,,,,,,,752298976,,,
2017-01-05,1156.72998046875,1191.0999755859375,910.4169921875,1013.3800048828124,1013.3800048828124,510199008,1046.4049926757812,,,,,,,,,242099968,,,-3.156042643538997
2017-01-06,1014.239990234375,1046.81005859375,883.9439697265625,902.2009887695312,902.2009887695312,351876000,1027.1801879882812,,,,,38.24699916745946,,,,-109776032,,,-12.167212790924255
2017-01-07,903.4869995117188,908.5850219726562,823.5560302734375,908.5850219726562,908.5850219726562,279550016,1004.5471923828125,,,,,39.196231356279675,,,,169773984,,,-9.552778718392654
2017-01-08,908.1749877929688,942.7239990234376,887.2490234375,911.198974609375,911.198974609375,158715008,978.018994140625,,,,,35.988710319725755,,,,328488992,,,-6.83218014492285
2017-01-09,913.2440185546876,913.6859741210938,879.8070068359375,902.8280029296876,902.8280029296876,141876992,927.6385986328125,,,,,31.484188541761853,21.568025719713606,21.568025719713606,21.56802571971361,186612000,,,-2.6745971695972646
2017-01-10,902.4400024414062,914.8729858398438,901.0599975585938,907.6790161132812,907.6790161132812,115808000,906.4984008789063,976.4516967773437,,,,5.040601028060252,22.007974306856397,21.714675248761203,22.594572423046785,302420000,,-7.043121630187963,0.1302390862719973
